date,open,high,low,close,volume
2026-03-07 22:57:00,67235.21,67236.82,67221.05,67236.82,1.9606
2026-03-07 22:58:00,67236.81,67250.39,67227.05,67242.01,3.48423
2026-03-07 22:59:00,67242.02,67281.01,67227.06,67258.65,193.49365
2026-03-07 23:00:00,67258.65,67306.89,67239.53,67239.54,7.00269
2026-03-07 23:01:00,67239.54,67251.58,67183.39,67209.94,19.94173
2026-03-07 23:02:00,67209.94,67278.93,67209.94,67278.93,5.46348
2026-03-07 23:03:00,67278.93,67318.49,67278.93,67296.66,6.78702
2026-03-07 23:04:00,67296.67,67335.25,67296.66,67335.25,4.60676
2026-03-07 23:05:00,67335.25,67371.42,67335.24,67370.38,4.867
2026-03-07 23:06:00,67370.38,67381.66,67354.54,67354.54,2.90666
2026-03-07 23:07:00,67354.54,67364.36,67354.54,67354.56,2.62173
2026-03-07 23:08:00,67354.55,67376.73,67352.64,67366.18,7.41309
2026-03-07 23:09:00,67366.17,67366.18,67302.12,67309.19,6.178
2026-03-07 23:10:00,67309.18,67351.19,67309.18,67351.18,4.16205
2026-03-07 23:11:00,67351.19,67357.02,67336.16,67336.17,0.94592
2026-03-07 23:12:00,67336.16,67337.55,67331.87,67331.88,1.46461
2026-03-07 23:13:00,67331.87,67331.88,67322.91,67329.59,1.88743
2026-03-07 23:14:00,67329.59,67329.61,67324.2,67329.39,2.37134
2026-03-07 23:15:00,67329.39,67343.02,67322.91,67322.91,1.23047
2026-03-07 23:16:00,67322.92,67339.54,67322.91,67339.53,1.24198
2026-03-07 23:17:00,67339.53,67348.94,67339.53,67347.87,1.39217
2026-03-07 23:18:00,67347.87,67367.95,67347.87,67367.95,1.69656
2026-03-07 23:19:00,67367.95,67381.66,67318.92,67319.0,112.03389
2026-03-07 23:20:00,67318.99,67355.12,67315.12,67355.12,4.10251
2026-03-07 23:21:00,67355.11,67380.83,67348.34,67366.28,4.81721
2026-03-07 23:22:00,67366.29,67381.66,67366.28,67381.66,3.4806
2026-03-07 23:23:00,67381.65,67384.15,67375.92,67384.14,0.92763
2026-03-07 23:24:00,67384.14,67390.9,67384.14,67390.9,0.92955
2026-03-07 23:25:00,67390.9,67403.85,67363.48,67363.48,1.95201
2026-03-07 23:26:00,67363.48,67366.69,67338.53,67338.53,1.60253
2026-03-07 23:27:00,67338.53,67350.67,67338.53,67350.67,3.7884
2026-03-07 23:28:00,67350.67,67350.67,67343.89,67350.67,1.00303
2026-03-07 23:29:00,67350.67,67391.65,67350.66,67378.22,44.2804
2026-03-07 23:30:00,67378.23,67385.96,67355.01,67378.03,8.69923
2026-03-07 23:31:00,67378.03,67394.21,67373.12,67373.12,1.10738
2026-03-07 23:32:00,67373.13,67373.13,67372.42,67372.42,2.62096
2026-03-07 23:33:00,67372.43,67385.95,67372.42,67380.45,1.61828
2026-03-07 23:34:00,67380.46,67391.34,67349.24,67350.56,3.53386
2026-03-07 23:35:00,67350.56,67396.52,67350.56,67396.52,0.96515
2026-03-07 23:36:00,67396.52,67398.26,67372.8,67378.65,1.83663
2026-03-07 23:37:00,67378.66,67378.66,67366.27,67366.27,1.42149
2026-03-07 23:38:00,67366.28,67366.28,67318.35,67325.65,9.46002
2026-03-07 23:39:00,67325.64,67336.53,67317.83,67317.83,8.73101
2026-03-07 23:40:00,67317.83,67325.51,67317.82,67325.51,2.39732
2026-03-07 23:41:00,67325.51,67343.18,67325.51,67343.17,3.04517
2026-03-07 23:42:00,67343.18,67343.18,67335.78,67335.79,2.04408
